well,4.42,4.64,
we've,4.64,4.8,
already,4.8,5.04,
covered,5.04,5.54,
ah,5.55,5.88,
a,5.89,5.99,
great,5.99,6.21,
deal,6.21,6.65,
of,6.66,6.94,
techniques,6.96,7.43,
in,7.43,7.56,
programming,7.56,8.21,
ah,8.23,8.45,
but,8.46,8.62,
now,8.62,8.88,
today,8.91,9.25,
we,9.25,9.38,
wanna,9.38,9.57,
cover,9.57,9.85,
something,9.849999,10.179999,
else,10.179999,10.419999,
a,10.46,10.53,
very,10.53,10.79,
important,10.79,11.32,
if,11.34,11.59,
ah,11.67,11.86,
when,11.88,12.04,
you,12.04,12.14,
gonna,12.139999,12.279999,
be,12.28,12.38,
using,12.38,12.73,
computers,12.73,13.26,
to,13.259999,13.389999,
solve,13.389999,13.679999,
large,13.679999,13.929999,
problems,13.929999,14.399999,
and,14.58,14.72,
that's,14.719999,14.879999,
performance,14.889999,15.619999,
so,16.82,17.16,
there's,17.199999,17.359999,
a,17.359999,17.409999,
lot,17.41,17.53,
of,17.529999,17.629999,
reasons,17.629999,17.999999,
to,18,18.14,
study,18.139999,18.599999,
program,18.66,19.06,
performance,19.06,19.79,
ah,19.86,20.06,
here's,20.07,20.46,
not,20.49,20.71,
of,20.71,20.82,
three,20.84,21.29,
in,21.29,21.41,
particular,21.41,21.98,
ah,22.37,22.53,
so,22.53,22.72,
one,22.72,22.88,
is,22.88,23.07,
we,23.07,23.21,
wanna,23.21,23.42,
just,23.42,23.69,
predict,23.79,24.19,
the,24.19,24.28,
behavior,24.28,24.65,
of,24.65,24.91,
program,24.94,25.42,
we,25.42,25.54,
wanna,25.54,25.74,
know,25.74,26.11,
if,26.15,26.33,
it'll,26.33,26.48,
finished,26.48,26.8,
at,26.8,26.91,
all,26.91,27.29,
ah,27.349999,27.509999,
is,27.51,27.69,
it,27.69,27.82,
in,27.82,27.94,
a,27.94,28.01,
loop,28.02,28.29,
or,28.29,28.31,
is,28.309999,28.419999,
it,28.42,28.55,
just,28.55,28.7,
taking,28.7,28.99,
a,28.99,29.04,
long,29.04,29.3,
time,29.3,29.67,
[noise],29.73,30.16,
ah,30.16,30.43,
in,30.429999,30.849999,
actually,30.98,31.51,
usually,31.52,31.95,
we,31.95,32.08,
wanna,32.08,32.28,
know,32.28,32.48,
when,32.48,32.85,
we'll,32.88,33.05,
my,33.049999,33.199999,
program,33.2,33.65,
finish,33.65,34.16,
[noise],34.32,34.76,
ah,34.76,35.15,
but,35.209999,35.379999,
we,35.379999,35.489999,
also,35.49,35.76,
might,35.76,35.89,
wanna,35.889999,36.229999,
compare,36.24,36.77,
our,36.77,36.98,
algorithms,36.98,37.229999,
and,37.23,37.42,
implimentations,37.29,38.44,
ah,38.54,39,
we,39.28,39.51,
wanna,39.51,39.74,
know,39.74,40.04,
how,40.05,40.12,
well,40.12,40.43,
i've,40.44,40.58,
got,40.58,40.91,
a,41.09,41.39,
ah,41.39,41.56,
program,41.56,42,
that,42,42.14,
works,42.14,42.54,
but,42.54,42.75,
if,42.75,42.91,
i,42.91,42.97,
change,42.97,43.26,
it,43.26,43.36,
in,43.36,43.6,
this,43.63,44.02,
way,44.02,44.22,
we'll,44.22,44.39,
make,44.42,44.76,
my,44.86,45.06,
program,45.059999,45.479999,
faster,45.48,46.03,
or,46.389999,46.589999,
how,46.59,46.74,
can,46.74,46.97,
i,46.969999,47.019999,
make,47.02,47.24,
my,47.24,47.35,
program,47.349999,47.739999,
faster,47.74,48.21,
that's,48.25,48.44,
another,48.44,48.72,
reason,48.73,49,
that,49,49.16,
we,49.17,49.35,
might,49.349999,49.549999,
wanna,49.549999,49.739999,
study,49.74,50.06,
performance,50.059999,50.739999,
[noise],50.82,51.38,
ah,51.49,51.78,
<unk>,51.79,51.98,
so,51.99,52.42,
ah,52.51,52.87,
making,53.059999,53.399999,
a,53.4,53.45,
distinction,53.449999,54.109999,
between,54.109999,54.549999,
the,54.56,54.68,
